"Rowid_","ID","YEAR","FULL_ADDRE","CITY","STATE","COUNTRY","LATITUDE","LONGITUDE","Join_id","String","CHECK","AFFILIAT_0","AFFILIAT1","UPDATETAG","State","US_county_id","US_county_name","US_metro_id","US_metro_name","Other_metro","Europe_NUTS_3_rev"
38,"WOS:000285629000160",2011,"Shanghai Jiao Tong Univ, Key Lab Power Machinery & Engn, Minist Educ, Shanghai 200240, Peoples R China","Shanghai"," ","Peoples R China",31.2241458893,121.516136169,"Shanghai China","Shanghai  China","old mapped address",2365,2397,0," "," "," "," "," ","Shanghai"," "
39,"WOS:000318114700011",2013,"Stanford Univ, Lucile Packard Childrens Hosp, Sch Med, Stanford, CA 94305 USA","Stanford","CA","USA",37.4296302795,-122.164772034,41940,"Santa Clara Co. CA United States","old manual",1592,1619,0,"California",277307,"Santa Clara County",41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area"," "," "
40,"WOS:000298464300010",2012,"Univ Wisconsin, Lab Archaeol Chem, Madison, WI 53706 USA","Madison","WI","USA",43.0424690247,-89.403968811,31540,"Madison WI United States","old mapped address",1928,2030,0,"Wisconsin",1581072,"Dane County",31540,"Madison, WI Metro Area"," "," "
41,"WOS:000293442700002",2011,"Univ Minnesota, Minneapolis, MN USA","Minneapolis","MN","USA",44.9790306091,-93.2649307251,33460,"Minneapolis MN United States","old mapped address",1613,1685,0,"Minnesota",659472,"Hennepin County",33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area"," "," "
42,"WOS:000270284700012",2009,"Univ N Carolina, Dept Pediat, Chapel Hill, NC 27599 USA","Chapel Hill","NC","USA",35.9274520874,-79.0392684937,20500,"Chapel Hill NC United States","old mapped address",1863,1880,0,"North Carolina",1008576,"Orange County",20500,"Durham-Chapel Hill, NC Metro Area"," "," "
43,"WOS:000298178400007",2011,"CALTECH, NASA Herschel Sci Ctr, Pasadena, CA 91125 USA","Pasadena","CA","USA",34.1474494934,-118.144271851,31080,"Pasadena CA United States","old mapped address",1434,1537,0,"California",277283,"Los Angeles County",31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area"," "," "
44,"WOS:000301770900004",2012,"Korea Univ, Korea Detector Lab, Seoul, South Korea","Seoul"," ","South Korea",37.5150184631,127.016471863,"Seoul South Korea","Seoul Seoul South Korea","old mapped address",1594,1898,0," "," "," "," "," ","Seoul"," "
45,"WOS:000324493800002",2013,"Sanford Burnham Med Res Inst, Ctr Neurosci Aging & Stem Cell Res, La Jolla, CA 92037 USA","La Jolla","CA","USA",32.8370475769,-117.255386353,41740,"La Jolla CA United States","old mapped address",1987,2017,0,"California",277301,"San Diego County",41740,"San Diego-Carlsbad, CA Metro Area"," "," "
46,"WOS:000259244200609",2008,"Univ Cincinnati, Coll Med, Cincinnati, OH USA","Cincinnati","OH","USA",39.1071281433,-84.5041275024,17140,"Cincinnati OH United States","old mapped address",1651,1652,0,"Ohio",1074043,"Hamilton County",17140,"Cincinnati, OH-KY-IN Metro Area"," "," "
47,"WOS:000297457300019",2011,"Mayo Clin, Rochester, MN USA","Rochester","MN","USA",44.0193481445,-92.4591522217,40340,"Rochester MN United States","old mapped address",1596,1600,0,"Minnesota",659500,"Olmsted County",40340,"Rochester, MN Metro Area"," "," "
48,"WOS:000310955603254",2012,"Univ Texas SW Med Ctr Dallas, Div Digest & Liver Dis, Dallas, TX 75390 USA","Dallas","TX","USA",32.7781486511,-96.7954025269,19100,"Dallas TX United States","old mapped address",1562,1617,0,"Texas",1383842,"Dallas County",19100,"Dallas-Fort Worth-Arlington, TX Metro Area"," "," "
