id, name, Metro_name, latitude, longitude, mergeList, totalDegree
141,"Thompson","Thompson",55.801111,-97.864166,141|,1560.0
3104,"Leh","Leh",34.135872,77.546514,3104|,1556.0
8407,"Hebei Handan Airport","Handan",36.524,114.43,8407|,1554.0
6137,"Salekhard Airport","Salekhard",66.590753,66.611042,6137|,1550.0
2509,"Presidente Peron","Neuquen",-38.949,-68.155711,2509|,1548.0
2739,"Matecana","Pereira",4.812675,-75.739519,2739|,1548.0
3976,"Hodeidah Intl","Hodeidah",14.753,42.976336,3976|,1541.6666870117
3325,"Sunshine Coast","Maroochydore",-26.603333,153.091111,3325|,1540.0
1829,"Xoxocotlan Intl","Oaxaca",16.999906,-96.726639,1829|,1540.0
5632,"Ondjiva Pereira Airport","Ondjiva",-17.043464,15.683822,5632|,1536.0
1963,"Fua Amotu Intl","Tongatapu",-21.241214,-175.149644,1963|,1533.0
2069,"Hail","Hail",27.437917,41.686292,2069|,1523.3333435059
6376,"Mangshi Airport","Luxi",24.4011,98.5317,6376|,1520.0
4141,"Sandakan","Sandakan",5.900897,118.059486,4141|,1520.0
2476,"Salta","Salta",-24.855978,-65.486169,2476|,1516.0
2728,"Alfredo Vasquez Cobo","Leticia",-4.193549,-69.943163,2728|,1513.3333129883
3001,"Vadodara","Baroda",22.336164,73.226289,3001|,1507.9999694824
2781,"Cap Fap David Abenzur Rengifo Intl","Pucallpa",-8.377939,-74.574297,2781|,1506.0
2996,"Aurangabad","Aurangabad",19.862728,75.398114,2996|,1504.0
1122,"Berbera","Berbera",10.389167,44.941106,1122|,1504.0
6365,"Qingyang Airport","Qingyang",35.7997,107.603,6365|,1504.0
5810,"SamanĂˇ El Catey International Airport","Samana",19.267,-69.742,5810|1756|,1504.0
1579,"Karlovy Vary","CZ041",50.202978,12.914983,1579|,1500.0
6747,"Gorgan Airport","Gorgan",36.909381,54.401339,6747|,1500.0
2806,"Cadete Guillermo Del Castillo Paredes","Tarapoto",-6.508742,-76.373247,2806|,1498.0
6089,"Ganja Airport","Ganja",40.7377,46.3176,6089|,1488.0
2767,"Juana Azurduy De Padilla","Sucre",-19.007083,-65.288747,2767|,1488.0
7506,"Xingyi Airport","Xingyi",25.0882,104.9587,7506|,1488.0
3971,"Batumi","Batumi",41.610278,41.599694,3971|,1482.6666564941
174,"London","London",43.033056,-81.151111,174|9343|,1472.0
6153,"Karshi Khanabad Airport","Khanabad",38.8336,65.9215,6153|,1462.0
1013,"Chileka Intl","Blantyre",-15.679053,34.974014,1013|,1460.0
2166,"Chah Bahar","Chah Bahar",25.44335,60.382114,2166|,1460.0
3039,"Aizawl","Aizwal",23.746603,92.802767,3039|,1456.0
2496,"Rio Gallegos","Rio Gallegos",-51.608875,-69.312636,2496|,1456.0
238,"Oued Irara","Hassi Messaoud",31.672972,6.140444,238|,1452.0
3294,"Sultan Iskandarmuda","Banda Aceh",5.523522,95.420372,3294|,1448.0
2656,"Carriel Sur Intl","Concepcion",-36.77265,-73.063106,2656|,1446.0
5702,"Port Sudan New International Airport","Port Sudan",19.4336,37.2341,5702|,1446.0
2422,"Daniel Z Romualdez","Tacloban",11.227628,125.027758,2422|,1444.0
7078,"Show Low Regional Airport",43320,34.265556,-110.005556,7078|7587|,1440.0
7073,"San Luis Valley Regional Airport",198117,37.435,-105.866667,7073|,1440.0
2097,"Abadan","Abadan",30.371111,48.228333,2097|,1440.0
29,"Baker Lake","Baker Lake",64.298889,-96.077778,29|,1440.0
1989,"Bora Bora","Bora Bora",-16.444378,-151.751286,1989|,1440.0
32,"Cambridge Bay","Cambridge Bay",69.108055,-105.138333,32|,1440.0
30,"Campbell River","Campbell River",49.950832,-125.270833,30|,1440.0
5487,"Chesterfield Inlet Airport","Chesterfield Inlet",63.3469,-90.7311,5487|,1440.0
5933,"Sari Dasht E Naz Airport","Dasht-e-naz",36.635833,53.193611,5933|,1440.0
168,"Fort St John","Fort Saint John",56.238056,-120.740278,168|,1440.0
5424,"Kimbe Airport","Hoskins",-5.46217,150.405,5424|,1440.0
9026,"Lensk","Lensk",60.723,114.825,9026|7477|,1440.0
