id,name,city,country,IATA_FFA,CIAO,Latitude,longitude,totalDegre,ID_metro,affil_ID,Lat_met,Lon_met
1473,Araxos,Patras,Greece,GPA,LGRX,38.151111,21.425556,960,EL632,"Univ Patras, Div Oncol, Patras 26500, Greece,38.2235984802,21.7353992462,Patras Western Greece Greece,39,971|2273,33|6|,Patras Western Greece Greece|Rio Western Greece Greece|",38.223598,21.735399
1456,Kalamata,Kalamata,Greece,KLX,LGKL,37.068319,22.025525,2550,EL653,"Technol Educ Inst Crete, Dept Elect, GR-73133 Romanou, Chania, Greece,36.9933891296,21.6635093689,Romanou Chania Greece,0,6030,0|,Romanou Chania Greece|",36.993389,21.663509
1243,Santiago,Santiago,Spain,SCQ,LEST,42.896333,-8.415144,13932,ES111,"Univ Santiago Compostela, Santiago De Compostela, Spain,42.8790016174,-8.5265703201,Santiago de Compostela Galicia Spain,44,817|1576|1876|2836|3101|4335|4941|5170|6093|6355,17|9|7|4|3|0|1|1|1|1|,Santiago de Compostela Galicia Spain|Santiago de Compostela",42.879002,-8.52657
1250,Vigo,Vigo,Spain,VGO,LEVX,42.2318,-8.626775,2940,ES114,"Univ Vigo, Dept Signal Theory & Commun, Vigo 36310, Spain,42.2304000854,-8.7087402344,Vigo  Spain,58,769|2845,54|4|,Vigo  Spain|Vigo Pontevedra Spain|",42.2304,-8.70874
1214,Asturias,Aviles,Spain,OVD,LEAS,43.563567,-6.034622,4902,ES120,"Univ Oviedo, Hosp Cent Asturias, E-33080 Oviedo, Spain,43.3704986572,-5.859389782,Oviedo Principality of Asturias Spain,42,788|3005|5070|5071,37|3|1|1|,Oviedo Principality of Asturias Spain|GijÄ‚Ĺ‚n Principality of Asturias Spain|Area Del Corazon",43.370499,-5.85939
1251,Santander,Santander,Spain,SDR,LEXJ,43.427064,-3.820006,5968,ES130,"Univ Cantabria, Inst Fis Cantabria, CSIC, E-39005 Santander, Spain,43.4641990662,-3.829390049,Santander Cantabria Spain,26,327|2262,26|0|,Santander Cantabria Spain|Cantabria  Spain|",43.464199,-3.82939
1242,San Sebastian,San Sebastian,Spain,EAS,LESO,43.356519,-1.790611,775,ES212,"BioDonostia Inst, Ilundain Fdn, Neurosci Unit, San Sebastian, Spain,43.3027000427,-1.9730399847,San SebastiÄ‚Ë‡n Basque Country Spain,12,1387|3546|4638,9|2|1|,San SebastiÄ‚Ë‡n Basque Country Spain|San SebastiÄ‚Ë‡n Basque Country Spain|G",43.3027,-1.97304
1216,Bilbao,Bilbao,Spain,BIO,LEBB,43.301097,-2.910608,18108.666656,ES213,"Univ Deusto Ikerbasque, Basque Fdn Sci, Bilbao, Spain,43.2560997009,-2.9078400135,Bilbao Basque Country Spain,31,876|2387|3699|4109|6729,28|1|1|1|0|,Bilbao Basque Country Spain|Vizcaya  Spain|Bizkaia  Spain|Leioa Basque Country Spain|Barakaldo Basque Cou",43.2561,-2.90784
1234,Pamplona,Pamplona,Spain,PNA,LEPP,42.770039,-1.646331,360,ES220,"Univ Navarra, Unidad Biol Tumores Cerebrales, Pamplona 31008, Spain,42.8148002625,-1.6664400101,Pamplona Chartered Community of Navarre Spain,55,757|1993|3323,47|5|3|,Pamplona Chartered Community of Navarre Spain|Chartered Community of Navarre Spain|Pamp",42.8148,-1.66644
5781,LogroÄ‚Â±o-Agoncillo Airport,LogroÄ‚Â±o-Agoncillo,Spain,RJL,LELO,42.4542,-2.32083,240,ES230,"CSIC UR CAR, Inst Ciencias Vino, Logrono, Spain,42.4625015259,-2.4310400486,LogroÄ‚_o AutonomÄ‚Â­a de La Rioja Spain,0,6718,0|,LogroÄ‚_o AutonomÄ‚Â­a de La Rioja Spain|",42.462502,-2.43104
1252,Zaragoza Ab,Zaragoza,Spain,ZAZ,LEZG,41.666242,-1.041553,2440,ES243,"Hosp Clin Zaragoza, Div Med Oncol, Zaragoza, Spain,41.6665000916,-0.8773199916,Zaragoza Aragon Spain,74,618,74|,Zaragoza Aragon Spain|",41.6665,-0.87732
