"Source","Target","Id","duplicate","UMich","ASU","IUB","IUPUI"
"n0","n455","e37050",1,1,,,
"n0","n457","e9644",1,1,,,
"n0","n458","e9015",1,1,,,
"n0","n459","e3265",1,1,,,
"n0","n460","e3266",1,1,,,
"n0","n461","e3267",1,1,,,
"n0","n462","e4163",1,1,,,
"n0","n463","e3290",1,1,,,
"n0","n464","e12508",1,1,,,
"n0","n466","e6387",1,1,,,
"n0","n467","e19977",1,1,,,
"n0","n468","e24463",1,1,,,
"n0","n469","e3348",3,1,,,
"n0","n470","e3349",1,1,,,
"n0","n471","e3353",1,1,,,
"n0","n472","e26368",1,1,,,
"n0","n473","e3399",1,1,,,
"n0","n475","e10072",1,1,,,
"n0","n476","e5216",1,1,,,
"n0","n477","e27977",1,1,,,
"n0","n479","e21675",1,1,,,
"n0","n480","e16547",1,1,,,
"n0","n482","e3509",1,1,,,
"n0","n483","e3524",1,1,,,
"n0","n484","e3525",1,1,,,
"n0","n486","e14253",1,1,,,
"n0","n487","e3546",1,1,,,
"n0","n488","e8196",1,1,,,
"n0","n489","e3558",1,1,,,
"n0","n490","e3559",3,1,,,
"n0","n491","e3576",1,1,,,
"n0","n492","e3595",1,1,,,
"n0","n493","e3599",1,1,,,
"n0","n494","e3605",1,1,,,
"n0","n495","e8290",1,1,,,
"n0","n496","e3611",1,1,,,
"n0","n497","e40414",1,1,,,
"n0","n498","e4602",1,1,,,
"n0","n499","e12352",1,1,,,
"n0","n502","e42805",1,1,,,
"n0","n503","e53067",1,1,,,
"n0","n504","e3660",1,1,,,
"n0","n505","e13807",1,1,,,
"n0","n506","e17082",1,1,,,
"n0","n507","e3710",1,1,,,
"n0","n508","e4176",1,1,,,
"n0","n509","e28071",1,1,,,
"n0","n510","e24659",1,1,,,
"n0","n511","e12160",1,1,,,
"n0","n512","e3777",1,1,,,
"n0","n514","e3825",1,1,,,
"n0","n515","e3824",1,1,,,
"n0","n516","e5932",1,1,,,
"n0","n519","e6737",1,1,,,
"n0","n520","e4668",1,1,,,
"n0","n521","e20039",1,1,,,
"n0","n522","e18676",1,1,,,
"n0","n523","e3940",1,1,,,
"n0","n524","e5602",1,1,,,
"n0","n526","e9907",1,1,,,
"n0","n527","e4954",1,1,,,
"n0","n528","e32435",1,1,,,
"n0","n529","e8059",1,1,,,
"n0","n530","e22066",1,1,,,
"n0","n531","e4069",1,1,,,
"n0","n532","e14939",1,1,,,
"n0","n533","e4080",1,1,,,
"n0","n534","e44808",1,1,,,
"n0","n535","e4090",1,1,,,
"n0","n536","e4095",1,1,,,
"n0","n537","e4103",2,1,,,
"n0","n538","e6880",1,1,,,
"n0","n539","e7179",1,1,,,
"n0","n540","e13246",1,1,,,
"n0","n541","e4158",1,1,,,
"n0","n542","e4170",1,1,,,
"n0","n543","e4172",3,1,,,
"n0","n544","e4173",1,1,,,
"n0","n545","e9078",1,1,,,
"n0","n546","e5203",1,1,,,
"n0","n547","e19227",1,1,,,
"n0","n548","e4194",1,1,,,
"n0","n549","e4983",1,1,,,
"n0","n551","e4222",1,1,,,
"n0","n552","e23692",1,1,,,
"n0","n553","e4250",1,1,,,
"n0","n554","e4264",1,1,,,
"n0","n556","e6734",1,1,,,
"n0","n557","e33202",1,1,,,
"n0","n558","e34031",1,1,,,
"n0","n559","e10648",1,1,,,
"n0","n560","e4538",1,1,,,
"n0","n561","e11598",2,1,,,
"n0","n562","e6739",1,1,,,
"n0","n563","e34198",1,1,,,
"n0","n564","e14896",1,1,,,
"n0","n565","e21515",1,1,,,
"n0","n566","e5000",1,1,,,
"n0","n567","e37510",1,1,,,
"n0","n568","e4640",1,1,,,
"n0","n569","e4649",1,1,,,
"n0","n571","e4659",1,1,,,
"n0","n572","e4660",1,1,,,
"n0","n573","e6766",1,1,,,
"n0","n574","e4686",1,1,,,
"n0","n577","e4727",1,1,,,
"n0","n578","e4739",1,1,,,
"n0","n579","e4747",1,1,,,
"n0","n580","e4785",1,1,,,
"n0","n581","e4786",1,1,,,
"n0","n582","e4787",1,1,,,
"n0","n583","e4788",1,1,,,
"n0","n584","e4780",1,1,,,
"n0","n586","e4807",1,1,,,
"n0","n587","e4812",1,1,,,
"n0","n588","e4831",1,1,,,
"n0","n589","e4832",1,1,,,
"n0","n590","e4867",2,1,,,
"n0","n591","e22173",1,1,,,
"n0","n592","e9119",1,1,,,
"n0","n593","e4934",1,1,,,
"n0","n594","e4942",1,1,,,
"n0","n596","e30993",1,1,,,
"n0","n597","e4984",1,1,,,
"n0","n598","e4997",1,1,,,
"n0","n599","e4998",1,1,,,
"n0","n600","e5001",1,1,,,
"n0","n602","e27221",1,1,,,
"n0","n603","e6342",1,1,,,
"n0","n604","e52500",1,1,,,
"n0","n605","e8035",1,1,,,
"n0","n606","e5022",1,1,,,
"n0","n607","e14964",1,1,,,
"n0","n608","e9970",1,1,,,
"n0","n609","e5099",1,1,,,
"n0","n610","e5093",1,1,,,
"n0","n612","e5672",1,1,,,
"n0","n614","e5147",1,1,,,
"n0","n616","e5157",1,1,,,
"n0","n617","e5168",1,1,,,
"n0","n618","e5188",1,1,,,
"n0","n620","e5215",1,1,,,
"n0","n621","e5217",1,1,,,
"n0","n622","e5228",1,1,,,
"n0","n623","e5229",1,1,,,
"n0","n624","e5230",1,1,,,
"n0","n625","e5231",1,1,,,
"n0","n626","e5287",1,1,,,
"n0","n627","e5288",1,1,,,
"n0","n628","e5379",1,1,,,
"n0","n629","e5365",1,1,,,
"n0","n630","e9655",1,1,,,
"n0","n632","e36838",3,1,,,
"n0","n634","e10614",1,1,,,
"n0","n635","e5603",1,1,,,
"n0","n636","e17079",1,1,,,
"n0","n637","e19644",1,1,,,
"n0","n639","e16381",1,1,,,
"n0","n640","e6740",1,1,,,
"n0","n641","e25540",1,1,,,
"n0","n642","e5711",1,1,,,
"n0","n643","e5728",1,1,,,
"n0","n646","e7700",1,1,,,
"n0","n647","e5794",1,1,,,
"n0","n648","e5814",1,1,,,
"n0","n649","e5815",1,1,,,
"n0","n650","e5813",1,1,,,
"n0","n651","e5832",1,1,,,
"n0","n652","e5839",1,1,,,
"n0","n653","e5849",1,1,,,
"n0","n654","e5856",1,1,,,
"n0","n655","e5858",1,1,,,
"n0","n656","e5865",1,1,,,
"n0","n657","e5877",1,1,,,
"n0","n658","e5873",1,1,,,
"n0","n659","e25746",1,1,,,
"n0","n660","e5892",1,1,,,
"n0","n661","e5903",1,1,,,
"n0","n662","e14200",1,1,,,
"n0","n663","e5910",1,1,,,
"n0","n664","e5925",1,1,,,
"n0","n665","e5946",1,1,,,
"n0","n666","e5958",1,1,,,
"n0","n667","e5962",1,1,,,
"n0","n668","e5966",1,1,,,
"n0","n671","e6011",1,1,,,
"n0","n673","e8044",1,1,,,
"n0","n674","e7052",1,1,,,
"n0","n675","e11197",1,1,,,
"n0","n676","e31609",1,1,,,
"n0","n677","e6138",1,1,,,
"n0","n678","e6152",1,1,,,
"n0","n679","e6159",1,1,,,
"n0","n680","e13184",1,1,,,
"n0","n681","e22974",1,1,,,
"n0","n682","e6208",1,1,,,
"n0","n683","e29309",1,1,,,
"n0","n684","e6234",1,1,,,
"n0","n685","e38289",1,1,,,
"n0","n686","e6248",1,1,,,
"n0","n687","e6250",1,1,,,
"n0","n690","e6254",1,1,,,
"n0","n691","e6259",1,1,,,
"n0","n692","e42030",1,1,,,
"n0","n693","e6273",1,1,,,
"n0","n694","e24832",1,1,,,
"n0","n695","e6281",3,1,,,
"n0","n696","e6308",1,1,,,
"n0","n697","e6327",1,1,,,
"n0","n698","e6357",1,1,,,
"n0","n700","e6365",1,1,,,
"n0","n701","e6366",1,1,,,
"n0","n703","e8045",1,1,,,
"n0","n704","e6382",2,1,,,
"n0","n705","e6383",1,1,,,
"n0","n706","e7072",1,1,,,
"n0","n707","e6400",1,1,,,
"n0","n708","e6401",2,1,,,
"n0","n709","e6402",1,1,,,
"n0","n710","e6483",1,1,,,
"n0","n711","e9730",1,1,,,
"n0","n712","e11445",1,1,,,
"n0","n713","e6518",1,1,,,
"n0","n715","e6522",1,1,,,
"n0","n716","e6524",1,1,,,
"n0","n717","e6539",1,1,,,
"n0","n718","e6545",1,1,,,
"n0","n719","e6561",1,1,,,
"n0","n720","e6658",1,1,,,
"n0","n721","e6650",1,1,,,
"n0","n722","e6602",1,1,,,
"n0","n723","e6719",1,1,,,
"n0","n724","e6726",1,1,,,
"n0","n725","e6774",1,1,,,
"n0","n726","e6771",1,1,,,
"n0","n728","e6790",1,1,,,
"n0","n729","e6859",1,1,,,
"n0","n730","e6944",1,1,,,
"n0","n731","e8116",1,1,,,
"n0","n732","e6984",1,1,,,
"n0","n733","e15858",1,1,,,
"n0","n734","e7019",2,1,,,
"n0","n735","e7020",3,1,,,
"n0","n736","e7021",1,1,,,
"n0","n737","e37265",1,1,,,
"n0","n738","e26055",1,1,,,
"n0","n740","e51601",1,1,,,
"n0","n743","e7070",1,1,,,
"n0","n744","e7086",1,1,,,
"n0","n745","e7093",1,1,,,
"n0","n746","e7106",1,1,,,
"n0","n749","e8195",1,1,,,
"n0","n750","e51361",1,1,,,
"n0","n751","e15046",1,1,,,
"n0","n753","e12874",1,1,,,
"n0","n754","e17864",1,1,,,
"n0","n755","e24046",1,1,,,
"n0","n756","e11871",1,1,,,
"n0","n757","e27113",1,1,,,
"n0","n758","e30806",1,1,,,
"n0","n759","e53966",1,1,,,
"n0","n760","e9929",1,1,,,
"n0","n761","e7484",1,1,,,
"n0","n762","e7493",1,1,,,
"n0","n763","e7525",1,1,,,
"n0","n764","e7524",1,1,,,
"n0","n765","e7502",1,1,,,
"n0","n767","e30318",1,1,,,
"n0","n768","e7616",1,1,,,
"n0","n769","e7641",1,1,,,
"n0","n770","e20803",1,1,,,
"n0","n771","e17614",1,1,,,
"n0","n772","e7654",1,1,,,
"n0","n774","e7664",1,1,,,
"n0","n776","e7674",2,1,,,
"n0","n777","e13779",1,1,,,
"n0","n779","e8739",1,1,,,
"n0","n780","e11550",1,1,,,
"n0","n781","e8464",1,1,,,
"n0","n782","e45409",1,1,,,
"n0","n783","e7832",1,1,,,
"n0","n784","e7864",1,1,,,
"n0","n785","e7852",1,1,,,
"n0","n786","e21435",1,1,,,
"n0","n787","e17277",1,1,,,
"n0","n788","e11492",1,1,,,
"n0","n789","e7887",1,1,,,
"n0","n790","e10724",1,1,,,
"n0","n791","e19260",1,1,,,
"n0","n792","e54452",1,1,,,
"n0","n793","e7985",1,1,,,
"n0","n794","e7997",1,1,,,
"n0","n796","e8020",1,1,,,
"n0","n797","e8023",1,1,,,
"n0","n798","e24385",1,1,,,
"n0","n799","e8034",1,1,,,
"n0","n801","e8070",1,1,,,
"n0","n802","e8092",1,1,,,
"n0","n803","e8119",1,1,,,
"n0","n805","e15688",1,1,,,
"n0","n806","e36497",1,1,,,
"n0","n807","e19072",1,1,,,
"n0","n809","e13611",1,1,,,
"n0","n810","e12540",1,1,,,
"n0","n811","e23843",1,1,,,
"n0","n812","e23198",1,1,,,
"n0","n813","e21984",2,1,,,
"n0","n816","e55503",1,1,,,
"n0","n817","e27960",1,1,,,
"n0","n820","e9678",1,1,,,
"n0","n821","e8389",1,1,,,
"n0","n822","e8414",1,1,,,
"n0","n823","e8415",1,1,,,
"n0","n824","e8416",1,1,,,
"n0","n825","e38513",1,1,,,
"n0","n826","e27708",1,1,,,
"n0","n827","e8460",1,1,,,
"n0","n828","e56266",1,1,,,
"n0","n829","e8487",1,1,,,
"n0","n830","e27730",1,1,,,
"n0","n831","e8500",1,1,,,
"n0","n832","e47998",1,1,,,
"n0","n833","e8512",1,1,,,
"n0","n834","e15358",1,1,,,
"n0","n835","e22347",1,1,,,
"n0","n837","e12414",1,1,,,
"n0","n838","e24717",1,1,,,
"n0","n840","e8703",1,1,,,
"n0","n841","e8738",1,1,,,
"n0","n842","e8773",1,1,,,
"n0","n843","e21977",1,1,,,
"n0","n844","e12629",1,1,,,
"n0","n845","e17111",1,1,,,
"n0","n846","e30096",1,1,,,
"n0","n847","e8821",1,1,,,
"n0","n849","e8846",1,1,,,
"n0","n850","e9944",1,1,,,
"n0","n851","e8882",2,1,,,
"n0","n852","e8891",1,1,,,
"n0","n853","e44854",1,1,,,
"n0","n854","e44218",1,1,,,
"n0","n855","e33820",1,1,,,
"n0","n856","e8930",26,1,,,
"n0","n857","e8943",1,1,,,
"n0","n858","e8951",1,1,,,
"n0","n859","e9767",1,1,,,
"n0","n860","e8991",1,1,,,
