Source,Target,Id,duplicate,UMich,ASU,IUB,IUPUI,Dist2Air,MASS,Seats0Stop,Seats1Stop,Seats2Stop,Seats3Stop,Lines0Stop,Lines1Stop,Lines2Stop,Lines3Stop
"n0","n1328","e42474",1,1,,,,7.706771563592381,2495.0,0.0,1067.2726143461816,5186.087529745319,160023.68126350958,0.0,5.830951894845301,28.64546507178013,190.032427527448
"n0","n1330","e20886",1,1,,,,18.21872696371659,1261.0,0.0,540.510869455925,2666.493552341757,102410.1072628228,0.0,4.242640687119285,18.399050024909698,119.62462942148619
"n0","n1331","e20934",1,1,,,,57.372309106887556,1.0,0.0,1012.0945278645337,4266.43122773557,142942.43808501927,0.0,7.681145747868608,29.941818992659126,175.32138346172596
"n0","n1333","e20981",1,1,,,,9.208121709866738,2229.0,0.0,562.2529086926393,3391.767700384795,108510.6421677401,0.0,3.1622776601683795,18.7163723831512,133.90968103559993
"n0","n1335","e21175",3,1,,,,40.85642166495322,1.0,0.0,0.0,1271.6496099550525,9065.660726776932,0.0,0.0,5.96273195774369,43.43612176814627
"n0","n1338","e21249",1,1,,,,9.736178759292327,50518.0,0.0,1416.5332094000948,5522.935676082582,179224.93423091166,0.0,7.14142842854285,29.108320778820264,183.48130656309058
"n0","n1339","e21248",1,1,,,,36.41101276885168,3319.0,0.0,0.0,708.45273939346,5844.965074382257,0.0,0.0,3.9578916096804053,32.89246180130577
"n0","n1340","e21251",2,1,,,,53.71420398050165,1761.0,0.0,451.46428430164883,2235.675586071001,94016.43258683506,0.0,2.8284271247461903,13.280971852727665,85.28692019216868
"n0","n1342","e55006",1,1,,,,32.72389080899889,530.0,0.0,213.44788591129216,1381.4854687155998,63802.131100789775,0.0,3.0,14.715532005301304,100.79864746719394
"n0","n1343","e21319",1,1,,,,29.8205134895884,78.0,0.0,888.9389555344432,3810.6884728531477,132315.5079194782,0.0,6.708203932499369,27.284756888702915,160.66906239346338
"n0","n1344","e21346",1,1,,,,5.34652919584732,6126.0,0.0,0.0,617.2257246528025,9803.080445968928,0.0,0.0,3.708429769266189,26.660418190758275
"n0","n1346","e21423",2,1,,,,57.51881542917334,205.0,0.0,1252.608810975451,5837.936413371679,222017.68045279113,0.0,5.385164807134504,26.81471608508025,179.42052961776875
"n0","n1349","e21462",1,1,,,,27.858372431902872,1.0,0.0,792.7042323590811,3989.472939750147,128867.2048626942,0.0,4.795831523312719,22.60765718774031,157.5855943367326
"n0","n1350","e21470",1,1,,,,5.04446314524892,4463.0,0.0,0.0,1939.63589784466,16021.945929579435,0.0,0.0,8.759038279775778,71.48321380417579
"n0","n1351","e21485",1,1,,,,6.290479553753696,2213.0,0.0,0.0,0.0,2928.895555295725,0.0,0.0,0.0,13.395668044114696
"n0","n1353","e21501",1,1,,,,12.46123559583851,224.0,0.0,407.087214242845,2488.550112810436,89093.49486227705,0.0,3.1622776601683795,16.721686619709985,110.08715908287591
"n0","n1354","e21557",1,1,,,,41.125805994195474,3143.0,0.0,0.0,1075.8185598188454,10149.107781187176,0.0,0.0,5.818647867496961,56.65755960455863
"n0","n1355","e21620",1,1,,,,4.261356573711281,1267.0,0.0,494.6412841645954,2297.713283255359,98572.86914120495,0.0,3.1622776601683795,13.248203880565269,86.61275980193325
"n0","n1356","e21716",1,1,,,,122.77408887947378,12.0,0.0,0.0,523.9150929284091,3360.947372049203,0.0,0.0,5.506878446387352,31.323178098697163
"n0","n1357","e21793",1,1,,,,17.105831917860602,1.0,0.0,0.0,876.179186220404,5829.1813892358805,0.0,0.0,3.9578916096804053,28.19396094198514
"n0","n1359","e21805",1,1,,,,4.496181005725925,79.0,0.0,752.9561740234288,3428.2475661898375,122876.71189514201,0.0,5.656854249492381,24.418417487278514,150.12693121248282
"n0","n1361","e21909",1,1,,,,4.489914228365766,71.0,0.0,325.1461209979292,1913.5444564199756,79020.48458822093,0.0,2.6457513110645907,13.423666859033261,95.61216588884224
"n0","n1362","e42623",1,1,,,,4.677778497030336,27.0,0.0,0.0,1145.8171091365216,7677.3048885727785,0.0,0.0,5.2048278633942004,36.2425514425578
"n0","n1363","e21957",1,1,,,,65.63967679304473,254.0,0.0,0.0,1662.2585744233586,14185.248482757597,0.0,0.0,7.191966348147809,62.35791417293338
"n0","n1364","e21958",1,1,,,,45.762192232325745,1.0,0.0,163.95121225535357,958.5289649886214,55365.82939586754,0.0,1.4142135623730951,8.454794179086567,52.470502876544806
"n0","n1366","e22058",1,1,,,,3.5050202101811894,594.0,0.0,325.1461209979292,1913.5444564199756,79020.30173798933,0.0,2.6457513110645907,13.423666859033261,95.61917666628773
"n0","n1368","e22124",1,1,,,,2.759680092088415,88.0,0.0,148.63826335548103,1275.5290474164324,53404.78036471006,0.0,1.0,9.163310203834696,64.41347073687018
"n0","n1369","e22127",1,1,,,,2.7989560110341665,77.0,0.0,0.0,0.0,1902.2542234083292,0.0,0.0,0.0,9.356122980396034
"n0","n1370","e53661",1,1,,,,12.754414314678101,1494.0,0.0,0.0,2075.9131440242054,17698.257564417152,0.0,0.0,11.676544921628004,98.7936142933523
"n0","n1372","e41285",1,1,,,,4.842825259971578,109.0,0.0,559.5855609288002,2943.922345414899,104847.70886480532,0.0,4.47213595499958,20.47343793238347,128.57345850323478
"n0","n1375","e22271",1,1,,,,7.7147273270148915,71.0,0.0,1192.7028129421008,4603.517570997627,165581.58514146262,0.0,4.69041575982343,20.126503612205585,144.0640584030384
"n0","n1377","e44868",1,1,,,,58.62736103069132,926.0,0.0,507.7318846267848,3362.0010794178716,111927.87575241225,0.0,2.449489742783178,18.427323631767678,137.26586823595403
"n0","n1379","e22334",1,1,,,,2.0887325475937573,252.0,0.0,0.0,1735.4022241690384,14224.220979850228,0.0,0.0,7.4530399137208345,63.19005565403147
"n0","n1380","e22345",1,1,,,,34.50411654661887,1.0,0.0,0.0,1041.9654339448405,7974.576132531769,0.0,0.0,5.104468722001463,39.19959965161301
"n0","n1381","e56770",1,1,,,,1.365065074873871,1816.0,0.0,0.0,2366.612633798025,24201.192589771035,0.0,0.0,12.964399639206173,106.21244055148738
"n0","n1382","e22387",1,1,,,, , , , , , , , , ,no node match
"n0","n1383","e22406",1,1,,,,22.842369060132786,6864.0,0.0,0.0,2108.586812609528,22028.151132099738,0.0,0.0,12.053006257385807,94.32288561095622
"n0","n1386","e22431",1,1,,,,38.672480095298795,141.0,0.0,0.0,1495.4478332548972,13819.860525467977,0.0,0.0,8.118041379299234,60.52247020748776
"n0","n1388","e22538",1,1,,,,56.02502250691015,261.0,0.0,547.7499429484224,2775.5435608410216,103111.8073060138,0.0,4.242640687119285,19.577339158309076,125.57689450017332
"n0","n1389","e22539",1,1,,,,8.966310811303897,452.0,120.0,1452.639611197766,5457.802678060314,164933.55888047832,1.0,11.392304845413264,39.52728237535874,212.22043738027398
"n0","n1392","e25270",1,1,,,,6.14916694673125,1793.0,0.0,257.9922479455536,1758.3886891345535,70753.2592078816,0.0,1.0,7.723950813597926,60.902731823900226
"n0","n1393","e22587",1,1,,,,8.338599554350576,36285.0,0.0,1753.7376751764596,7327.347050920912,253770.78505824154,0.0,8.12403840463596,36.528871279188905,233.53038186207064
"n0","n1395","e31641",1,1,,,,14.978871339372285,2275.0,1079.5,7266.706762299483,19535.076621512464,1286537.3377652464,4.0,31.367864366808018,87.62992268702932,498.69679176868027
"n0","n1396","e22723",1,1,,,,2.103503794497681,857.0,0.0,0.0,1139.0408029686719,9525.89955537947,0.0,0.0,6.709172852081068,54.86974550072005
"n0","n1397","e43813",1,1,,,,7.6187519381548885,1184.0,0.0,508.36207569015215,2196.460393491853,99037.86650534923,0.0,2.449489742783178,10.869735690729748,83.853476079075
"n0","n1398","e52409",1,1,,,,37.243894381467534,84.0,0.0,2138.067955733244,8160.638498876364,268114.5324164773,0.0,10.816653826391969,42.210518504586545,263.0845300693856
"n0","n1400","e22816",1,1,,,,2.6630965669278184,69.0,0.0,479.5998331942996,2354.7509780329506,96216.3912039341,0.0,3.7416573867739413,16.324046489886516,105.17645642164896
"n0","n1401","e22844",1,1,,,,38.49768523583821,1.0,0.0,0.0,834.1554942305517,4915.998607045559,0.0,0.0,3.8708766406277966,24.039178655457306
"n0","n1402","e22888",1,1,,,,1.717414741148564,6403.0,0.0,665.6387909369465,4717.403613622191,147905.3875700599,0.0,3.3166247903554,25.346886176505286,175.35936868109758
