Source;Target;Id;duplicate;UMich;ASU;IUB;IUPUI;Dist2Air;MASS;Seats0Stop;Seats1Stop;Seats2Stop;Seats3Stop;Lines0Stop;Lines1Stop;Lines2Stop;Lines3Stop;GeoDist;CollabPaperCount;institution;NLink;cosine
n4;n2360;448874;1;;;1;;64.38031533;552;0;0;0;1121.089415;0;0;0;6.266363704;7841.741483;0;3;3;0.587892403
n4;n2362;448876;1;;;1;;2.529867042;310;0;0;1197.462325;8149.101566;0;0;6.917396417;46.42827273;3965.991982;0;3;2;0.653240677
n4;n2363;448877;1;;;1;;38.12959701;1;0;0;752.6242553;6564.332092;0;0;4.140817749;35.42797209;6356.588899;0;3;2;0.865764487
n4;n2365;448879;1;;;1;;19.9945489;1;0;1518.634255;5254.987641;129654.2206;0;11;37.88520074;205.7412741;1666.229956;0;3;1;0.865764487
n4;n2366;448880;1;;;1;;20.19762475;1;0;0;365.9026885;3813.236631;0;0;2.080083823;20.28544577;7509.701292;0;3;2;0.865764487
n4;n2367;448881;1;;;1;;21.59085625;1;0;0;541.3435679;3832.36773;0;0;6.24879977;39.79221582;223.8554506;0;3;2;0.865764487
n4;n2372;448886;1;;;1;;22.65780129;68;0;732.2294722;2646.1312;58810.86484;0;6;20.49266375;124.0246326;563.6455553;0;3;1;0.771136779
n4;n2373;448887;1;;;1;;23.62605839;1;0;0;806.1980377;5094.239092;0;0;5.217103446;31.92703586;4933.129981;0;3;2;0.865764487
n4;n2376;448890;1;;;1;;69.56581972;1;0;248.1128775;1200.122124;32836.57263;0;2;9.324829445;63.23541712;732.6653938;0;3;1;0.865764487
n4;n2377;448891;1;;;1;;37.51843894;801;0;207.8460969;1185.481053;30421.34517;0;1.732050808;9.434675426;65.42149331;404.532157;0;3;1;0.551353762
n4;n2378;448892;1;;;1;;85.3210566;9;0;0;773.6203661;5796.175818;0;0;4.862944131;35.68524061;4510.585109;0;3;2;0.568657747
n4;n2382;448896;1;;;1;;54.62656444;1;0;0;2078.393267;15030.72517;0;0;10.32280115;75.8147007;7088.865492;1;3;2;0.865764487
n4;n2383;448897;1;;;1;;10.44140479;1;0;74.02702209;632.8282688;17875.96079;0;1;6.962731958;45.02511498;1202.919699;0;3;1;0.865764487
n4;n2385;448899;1;;;1;;2.047898105;168;0;309.8386677;2315.150992;45794.67506;0;2;14.58028326;97.10679121;3217.857411;0;3;1;0.707760823
n4;n2386;448900;1;;;1;;24.70170798;180;0;751.5849919;3089.940123;61656.26259;0;5.744562647;23.17750328;138.545397;1583.988156;0;3;1;0.603488916
n4;n2387;448901;1;;;1;;10.60513811;3928;0;306.4310689;3110.123128;49460.42282;0;2.236067977;18.36138596;113.2044046;1175.09618;0;3;1;0.77730755
n4;n2388;448902;1;;;1;;62.93125936;89;0;1510.161581;5072.333002;102375.6634;0;12.12435565;39.19822743;206.872058;726.7065614;0;3;1;0.708907959
n4;n2390;448904;1;;;1;;48.0056651;1;0;121.9836055;1171.613138;24579.11094;0;1;9.410832585;60.92598933;1965.801758;0;3;1;0.865764487
n4;n2393;448907;1;;;1;;17.61656058;237;0;0;709.0435843;5119.062667;0;0;4.497941445;31.88107793;5620.51552;0;3;2;0.365975102
n4;n2394;448908;1;;;1;;58.08967076;1787;0;0;1570.923877;11556.4188;0;0;8.128144739;60.1196394;6827.979444;0;3;2;0.803560454
n4;n2395;448909;1;;;1;;76.42398488;1;0;0;0;5867.932869;0;0;0;27.10152076;8580.98791;0;3;3;0.865764487
